,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
193,2013,25SE,2,4,10,38.21,197.52,29.06,1.08,45.75,21.53,0,0,0,4,TGM,Loamy,127.63,523617,4517220
194,2013,25SE,2,4,20,21.53,417.1,0,16.15,80.73,0,0,0,0,4,TGM,Loamy,127.63,523617,4517220
195,2013,25SE,3,1,10,3.23,262.1,152.31,553.8,276.09,20.99,0,0,0,4,TGM,Loamy,127.63,523427,4517050
196,2013,25SE,3,1,20,0,326.68,88.26,8.61,216.89,37.67,0,0,0,4,TGM,Loamy,127.63,523427,4517050
197,2013,25SE,3,4,10,3.23,126.48,191.6,221.2,354.67,73.73,0,0,0,4,TGM,Loamy,127.63,523427,4517050
198,2013,25SE,3,4,20,0,335.3,0,3.77,95.26,0,0,0,0,4,TGM,Loamy,127.63,523427,4517050
199,2013,25SE,4,1,10,3.23,593.09,0,0,37.14,0,0,0,0,4,TGM,Loamy,127.63,523245,4516870
200,2013,25SE,4,1,20,3.23,381.58,49.51,19.38,18.3,0,0,0,0,4,TGM,Loamy,127.63,523245,4516870
201,2013,25SE,4,4,10,0,0,0,527.97,0,0,0,0,0,4,TGM,Loamy,127.63,523245,4516870
202,2013,25SE,4,4,20,0,490.83,0,100.1,117.86,0,0,0,0,4,TGM,Loamy,127.63,523245,4516870
203,2013,26E,1,1,10,17.22,386.96,33.37,31.22,16.68,0,0,0,0,3,TGM,Loamy,126.07,522142,4517670
204,2013,26E,1,1,20,85.57,509.67,92.57,21.53,15.07,0,0,0,0,3,TGM,Loamy,126.07,522142,4517670
205,2013,26E,1,4,10,19.38,333.68,39.83,0,8.61,0,0,0,0,3,TGM,Loamy,126.07,522142,4517670
206,2013,26E,1,4,20,67.27,410.11,4.31,7.53,13.99,0,0,0,0,3,TGM,Loamy,126.07,522142,4517670
207,2013,26E,2,1,10,3.77,435.4,48.98,8.07,14.53,0,103.87,0,0,3,TGM,Loamy,126.07,521889,4517670
208,2013,26E,2,1,20,2.15,451.01,0,4.84,7.53,0,351.44,0,0,3,TGM,Loamy,126.07,521889,4517670
209,2013,26E,2,4,20,20.45,123.25,52.74,20.99,61.35,0,0,0,0,3,TGM,Loamy,126.07,521889,4517670
210,2013,26E,3,1,10,62.97,159.31,46.28,0,96.34,0,0,0,0,3,TGM,Loamy,126.07,521902,4517420
211,2013,26E,3,1,20,29.06,306.77,150.16,0,78.58,3.23,0,0,0,3,TGM,Loamy,126.07,521902,4517420
